order_id,product_id,category,quantity,price
1,4151,apparel,3,57.68
2,3744,books,3,27.02
2,8708,toys,2,99.43
3,3861,apparel,2,90.15
3,3262,sports,3,231.72
4,5327,electronics,1,55.8
4,7534,apparel,1,11.0
4,8559,apparel,3,88.59
5,9209,home,1,131.09
5,6837,sports,1,190.67
5,7023,home,3,292.79
6,1267,home,3,70.75
6,7683,sports,1,18.59
6,9561,books,3,21.35
6,8134,electronics,1,701.05
6,3891,beauty,1,49.62
7,6925,electronics,3,709.69
7,7815,toys,1,46.76
7,4362,grocery,3,10.41
8,3403,apparel,2,84.81
8,1563,toys,2,36.83
9,8100,toys,1,54.67
10,1044,toys,2,73.47
10,1296,apparel,1,105.99
11,2650,home,1,128.41
11,9979,grocery,2,47.43
12,6927,toys,3,105.44
12,9207,toys,3,75.53
12,8806,toys,3,15.8
12,4633,books,3,32.78
13,9324,beauty,1,9.8
13,4798,books,1,32.16
14,4235,grocery,1,22.56
14,5856,home,1,107.85
14,3651,home,3,87.13
14,5487,apparel,3,56.2
14,5305,home,1,115.75
15,5254,beauty,3,16.37
15,1642,apparel,1,146.1
15,3670,home,1,140.08
15,6310,beauty,2,27.83
15,8999,electronics,3,749.34
16,5426,apparel,2,87.22
16,3119,apparel,2,114.52
16,7632,sports,3,365.76
16,3024,electronics,1,442.12
17,8974,home,2,270.43
17,6933,beauty,1,14.15
17,1610,home,3,291.73
17,7426,electronics,1,253.46
18,7051,apparel,2,116.79
18,9924,beauty,3,75.22
18,2294,apparel,3,22.21
18,4563,grocery,2,18.52
18,6799,apparel,3,82.11
19,2051,grocery,3,54.4
19,6934,beauty,2,21.9
19,7894,toys,1,99.8
19,9499,toys,3,115.02
20,1346,home,3,279.13
20,9853,home,3,91.35
21,3905,home,2,21.6
21,5965,apparel,1,124.83
21,7494,apparel,2,51.8
22,4191,toys,2,69.33
22,1318,electronics,3,377.07
22,6282,electronics,2,595.11
22,6842,electronics,2,533.13
22,1679,sports,2,116.92
23,6577,books,3,39.53
24,7609,apparel,3,57.28
24,6600,apparel,3,136.65
24,1204,electronics,2,105.26
24,3727,electronics,1,358.55
25,7638,sports,1,328.86
25,5343,apparel,3,71.05
25,5130,toys,1,49.52
25,8036,apparel,2,123.44
26,3411,sports,1,19.68
26,2518,grocery,2,40.26
26,3178,home,2,146.3
26,2289,home,3,249.97
27,3371,beauty,2,63.33
27,3791,apparel,2,115.49
27,5762,grocery,2,55.91
27,6919,electronics,1,104.65
28,3897,sports,2,284.11
28,4195,electronics,1,419.56
29,6536,electronics,1,196.29
30,6143,books,3,23.41
30,1942,apparel,2,82.5
30,7871,apparel,1,100.03
30,1800,grocery,1,40.42
31,1373,electronics,2,718.94
31,1498,electronics,1,164.14
31,2375,grocery,2,34.1
32,5034,home,2,258.51
33,7979,toys,1,22.97
33,4560,toys,2,108.72
33,4395,books,1,34.75
33,4631,apparel,1,104.17
34,7950,apparel,2,42.93
34,4418,grocery,3,57.81
34,9425,sports,2,208.77
34,8539,apparel,2,71.92
34,8178,sports,1,52.01
35,3466,sports,2,77.87
35,6006,beauty,2,14.18
35,1795,beauty,3,49.24
36,5009,grocery,3,39.89
36,5885,books,3,9.95
36,4315,sports,2,117.9
37,8597,electronics,2,695.2
37,3252,sports,1,78.04
37,1277,home,3,283.15
38,5790,home,3,139.1
38,4830,grocery,3,43.22
39,3884,home,2,138.16
39,6453,beauty,2,75.45
40,3267,home,3,136.15
