order_id,customer_id,order_date,status,order_total
1,1,2022-04-01,shipped,173.04
2,1,2023-03-21,delivered,279.92
3,1,2023-12-11,delivered,875.46
4,2,2024-01-31,delivered,332.57
5,2,2024-05-04,shipped,1200.13
6,2,2023-10-19,delivered,1045.56
7,3,2023-05-22,delivered,2207.06
8,3,2023-07-28,delivered,243.28
9,3,2023-07-31,delivered,54.67
10,3,2023-09-15,delivered,252.93
11,3,2023-09-05,delivered,223.27
12,3,2023-08-02,delivered,688.65
13,3,2023-06-14,shipped,41.96
14,3,2023-12-05,shipped,676.15
15,3,2024-02-26,delivered,2638.97
16,3,2024-05-22,shipped,1942.88
17,4,2023-04-29,delivered,1683.66
18,4,2023-12-13,processing,809.24
19,4,2023-09-25,delivered,651.86
20,5,2024-04-22,delivered,1111.44
21,5,2024-01-01,delivered,271.63
22,5,2023-03-02,processing,3760.19
23,6,2023-12-04,delivered,118.59
24,6,2024-03-15,shipped,1150.86
25,6,2024-04-20,delivered,838.41
26,6,2023-10-11,delivered,1142.71
27,6,2024-03-21,delivered,574.11
28,7,2022-07-26,delivered,987.78
29,7,2024-05-13,delivered,196.29
30,7,2024-05-31,delivered,375.68
31,7,2024-03-03,delivered,1670.22
32,7,2024-03-04,delivered,517.02
33,7,2024-05-28,delivered,379.33
34,7,2022-11-02,delivered,872.68
35,7,2023-05-22,cancelled,331.82
36,7,2022-06-25,delivered,385.32
37,9,2023-05-11,delivered,2317.89
38,10,2022-06-06,delivered,546.96
39,10,2023-10-14,delivered,427.22
40,10,2022-05-12,returned,880.26
41,11,2024-04-17,delivered,1589.39
42,11,2024-04-13,delivered,1966.7
43,11,2024-06-12,delivered,836.35
44,12,2023-12-19,delivered,1131.95
45,12,2024-05-25,delivered,742.32
46,12,2024-02-10,shipped,2947.75
47,12,2024-01-22,delivered,403.79
48,12,2024-05-12,delivered,44.34
49,12,2024-01-07,delivered,99.85
50,13,2024-05-15,processing,63.84
51,13,2024-05-15,delivered,447.23
52,13,2024-01-16,delivered,697.45
53,14,2023-12-07,delivered,690.77
54,14,2024-05-22,delivered,650.88
55,15,2024-03-11,delivered,205.75
56,15,2023-06-20,delivered,144.18
57,15,2023-11-15,delivered,3479.67
58,16,2023-12-20,delivered,693.68
59,16,2024-05-13,cancelled,269.24
60,17,2024-04-28,delivered,713.91
61,17,2023-10-29,shipped,104.1
62,17,2023-03-11,delivered,209.54
63,17,2023-12-03,delivered,480.8
64,19,2024-01-21,delivered,343.0
65,20,2023-07-29,delivered,4020.01
66,20,2024-06-21,delivered,444.11
67,21,2024-06-28,processing,632.44
68,21,2023-08-13,delivered,1042.79
69,21,2024-05-26,delivered,399.02
70,21,2023-05-14,delivered,2361.45
